k	tk	med	99	ms
4	383	319	363	362
8	2122	627	1355	835362
12	13106	1570	4653	7200000
16	61667	4075	14673	7200000
20	230125	8696	36502	7200000
24	687404	21766	80482	7200000
28	1645148	42217	142790	7200000
32	3506326	68276	250984	7200000
36	7200000     7200000     7200000     7200000
40	7200000     7200000     7200000     7200000
