k	tk	med	99	ms
4	333	276	313	2212
8	1034	470	701 7200000
12	2768	628	1028    7200000
16	5825	625	1208    7200000
20	10549	652	1405    7200000
24	17437	717	1661    7200000
28	51922	803	4440    7200000
32	44111	847	3479    7200000
36	79133	957	4470    7200000
40	142181	999	2531    7200000
