k	tk	med	99	ms
4	439	381	412	7200000
8	1862	618	1401	7200000
12	9105	1328	3544	7200000
16	36887	3381	8029	7200000
20	110641	6996	15103	7200000
24	299411	14337	27820	7200000
28	658020	23107	44109	7200000
32	1271718	36543	67082	7200000
36	2272833	62117	94503	7200000
40	3952919	89503	141534	7200000
