k	tk	med	99	ms
4	336	277	317	7200000
8	1465	558	1080	7200000
12	7086	1025	2875	7200000
16	23109	2224	5625	7200000
20	72818	4529	10993	7200000
24	175968	8190	17568	7200000
28	375469	13047	28287	7200000
32	675082	20383	40105	7200000
36	1376664	31342	59950	7200000
40	2196169	41087	81180	7200000
