k	tk	med	99	ms
4	683	640	656	4605
8	1426	394	1042	7200000
12	4230	631	1926	7200000
16	14424	1213	3542	7200000
20	40036	2438	6113	7200000
24	101180	4511	10307	7200000
28	225999	7627	16903	7200000
32	416093	11207	24065	7200000
36	712775	16636	31936	7200000
40	1203873	21338	42781	7200000
